id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
2110,Rockman.EXE Beast,4112,2005-10-01,Xebec,7.04,6848,8395,3191,
2000,Roujin Z,4113,1991-09-14,APPP,7.04,3586,38655,13045,
6974,Seikimatsu Occult Gakuin,4114,2010-07-06,A-1 Pictures,7.04,2019,103974,42805,
20973,Sekai Seifuku: Bouryaku no Zvezda,4115,2014-01-12,A-1 Pictures,7.04,1561,145888,54928,
5279,Sekirei: Hajimete no Otsukai,4116,2009-03-25,Seven Arcs,7.04,2894,57179,30932,
9159,Kaibutsu Oujo (OVA),4117,2010-12-09,Tatsunoko Production,7.03,5715,13133,5297,
52446,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,4118,2023-01-07,Encourage Films,7.03,1618,140041,70045,
3222,Kiddy Grade: Maelstrom,4119,2007-06-23,Gonzo,7.03,8587,4775,1341,
4195,Kodomo no Jikan Ni Gakki,4120,2009-02-20,Diomedéa,7.03,3926,32127,17228,
3121,Kodomo no Jikan OVA,4121,2007-09-11,Diomedéa,7.03,4029,30395,16729,
34389,Koro-sensei Quest!,4122,2016-12-23,Lerche,7.03,3031,52554,25979,
6379,Kyou no 5 no 2 (TV): Takarabako,4123,2009-10-06,Xebec,7.03,6691,8835,3494,
10456,Kyoukaisenjou no Horizon,4124,2011-10-02,Sunrise,7.03,1315,180643,65687,
1184,Lost Universe,4125,1998-04-03,E&G Films,7.03,5122,17371,6848,
1435,Lupin III: Lupin vs. Fukusei-ningen,4126,1978-12-16,Tokyo Movie Shinsha,7.03,5529,14161,7361,
252,Madlax,4127,2004-04-06,Bee Train,7.03,3418,42028,13446,
1588,Mamoru-kun ni Megami no Shukufuku wo!,4128,2006-10-06,Zexcs,7.03,4232,27210,10710,
8424,MM!,4129,2010-10-02,Xebec,7.03,1020,236558,124734,
12119,Natsu-iro Kiseki,4130,2012-04-06,Sunrise,7.03,3334,43809,15572,
5023,Ninpuu Kamui Gaiden,4131,1969-04-06,Eiken,7.03,10693,2374,442,
40100,Nu Wushen de Canzhuo,4132,2019-06-28,Blade,7.03,5649,13531,4735,
